Arrival Rate,Throughput (bits),Avg HoL Delay (s),Dropped
0.0025,30587.404,0.002153827245,0.0
0.005,60749.726,0.00223799401,0.0
0.02,242434.198,0.002356895191,0.0
0.1,1213055.46,0.013548770537,0.0
0.2,1283058.62,0.8426214172700001,2254.315
0.5,1282318.99,1.5188645670999998,9458.041
