Window,Throughput (bits),Avg HoL Delay (s),Dropped
177,1.34994e+06,0.52106,2356
178,1.30869e+06,0.639975,2279
179,1.22683e+06,0.586375,2349
180,1.3281e+06,0.223003,2252
181,1.26021e+06,0.203236,2298
182,1.35595e+06,3.22265,2110
183,1.19729e+06,4.11591,1909
184,1.25689e+06,5.58906,2063
185,1.36382e+06,1.13155,2118
186,1.3926e+06,0.473857,2273
187,1.15057e+06,0.73883,1987
188,1.31652e+06,0.636011,2076
189,1.29912e+06,0.443424,2216
190,1.30463e+06,0.590271,2295
191,1.21241e+06,0.651489,2413
192,1.29918e+06,0.47133,2440
193,1.26036e+06,0.506525,2333
194,1.25958e+06,0.522991,2330
195,1.34586e+06,0.572584,2337
196,1.27082e+06,0.416488,2377
197,1.39938e+06,0.436614,2391
198,1.31362e+06,0.296458,2382
199,1.23646e+06,0.982101,2106
200,1.2163e+06,0.6209,2085
201,1.33034e+06,0.379462,2203
202,1.27552e+06,0.373516,2228
203,1.22891e+06,0.38519,2275
204,1.26847e+06,0.480253,2157
205,1.32068e+06,0.358821,2322
206,1.19605e+06,0.38822,2268
207,1.3087e+06,0.367571,2359
208,1.27221e+06,0.259097,2385
209,1.38795e+06,0.780384,2298
210,1.4046e+06,3.68322,1922
211,1.29174e+06,2.54628,1877
212,1.27328e+06,0.372587,2054
213,1.38552e+06,0.310551,2365
214,1.24969e+06,0.57037,2386
215,1.26559e+06,1.71206,2126
216,1.32968e+06,0.384365,2252
217,1.40951e+06,0.428103,2214
218,1.22422e+06,0.324987,2298
219,1.22562e+06,0.438446,2240
220,1.25562e+06,0.496743,2267
221,1.2305e+06,0.290632,2397
222,1.18226e+06,0.370253,2418
223,1.19145e+06,0.364049,2365
224,1.26437e+06,0.616983,2327
225,1.32966e+06,0.506896,2352
226,1.33531e+06,0.379582,2247
227,1.20392e+06,0.40871,2252
228,1.29216e+06,0.32126,2355
229,1.2147e+06,0.306065,2381
230,1.32059e+06,0.295632,2311
231,1.31625e+06,0.290204,2414
232,1.2078e+06,0.208381,2521
233,1.18391e+06,0.249958,2422
234,1.28943e+06,0.322316,2330
235,1.30644e+06,3.11902,2182
236,1.29682e+06,7.44573,1966
237,1.25937e+06,4.56727,2061
238,1.35096e+06,0.870766,2187
239,1.35965e+06,1.87956,2247
240,1.29816e+06,0.33176,2272
241,1.29011e+06,0.299597,2461
242,1.32251e+06,0.606909,2112
243,1.29684e+06,0.377089,2129
244,1.26875e+06,0.22298,2296
245,1.26027e+06,0.336818,2275
246,1.38991e+06,5.64434,1976
247,1.24238e+06,0.710438,2164
248,1.29123e+06,0.425177,2149
249,1.26323e+06,0.424677,2148
250,1.3202e+06,0.472772,2219
251,1.2734e+06,0.26754,2483
252,1.31793e+06,0.380679,2240
253,1.22811e+06,0.42786,2313
254,1.25085e+06,0.675984,2094
255,1.30306e+06,0.618366,2132
256,1.3763e+06,0.558975,2045
257,1.25435e+06,0.406818,2237
258,1.35036e+06,0.322832,2264
259,1.37617e+06,0.368758,2291
260,1.24266e+06,0.283327,2320
261,1.34386e+06,0.286771,2427
262,1.2785e+06,0.588794,2133
263,1.3596e+06,0.494865,2159
264,1.34163e+06,0.242857,2304
265,1.26889e+06,0.380868,2234
266,1.26708e+06,0.33071,2309
267,1.21799e+06,0.44832,2150
268,1.34218e+06,0.407677,2145
269,1.25872e+06,0.298394,2311
270,1.26552e+06,0.300229,2369
271,1.27621e+06,0.34192,2309
272,1.29539e+06,0.299377,2292
273,1.27403e+06,0.360394,2319
274,1.22928e+06,0.324078,2342
275,1.29526e+06,0.326376,2234
276,1.28563e+06,0.475774,2257
277,1.27542e+06,0.2912,2235
278,1.17445e+06,0.358068,2211
279,1.34177e+06,0.350334,2324
280,1.19285e+06,0.331779,2307
281,1.25728e+06,0.334999,2361
282,1.28157e+06,0.415979,2190
283,1.2907e+06,0.385258,2350
284,1.23977e+06,0.267397,2382
285,1.28586e+06,0.341251,2377
286,1.28042e+06,0.333853,2393
287,1.33647e+06,0.427701,2339
288,1.25539e+06,0.935558,2152
289,1.34994e+06,0.98377,2118
290,1.32517e+06,0.354901,2203
291,1.31878e+06,0.304068,2172
292,1.36731e+06,0.300512,2172
293,1.33448e+06,0.221448,2169
294,1.20857e+06,0.234884,2213
295,1.35314e+06,0.223612,2281
296,1.23359e+06,1.62949,2049
297,1.31504e+06,0.913492,2046
298,1.23754e+06,0.296365,2223
299,1.2431e+06,0.229018,2212
300,1.24318e+06,0.403718,2202
301,1.31075e+06,0.451074,2219
302,1.25481e+06,0.371056,2229
303,1.2923e+06,0.275792,2322
304,1.27185e+06,0.291083,2265
305,1.33437e+06,0.236514,2283
306,1.18137e+06,0.392321,2096
307,1.24566e+06,0.338427,2283
308,1.35612e+06,0.31655,2175
309,1.2192e+06,0.685419,2203
310,1.29348e+06,0.480712,2228
311,1.2498e+06,0.305285,2425
312,1.16668e+06,0.414694,2217
313,1.23215e+06,0.453653,2321
314,1.21911e+06,0.441929,2284
315,1.36139e+06,0.483079,2275
316,1.32323e+06,0.645091,2307
317,1.28536e+06,1.63743,2294
318,1.33811e+06,2.61059,2240
319,1.31932e+06,0.342171,2339
320,1.27794e+06,2.53233,2467
321,1.20956e+06,0.19918,2398
322,1.26566e+06,0.258345,2443
323,1.2689e+06,0.65889,2276
324,1.17902e+06,13.7751,2088
325,1.31118e+06,10.4537,2047
326,1.24539e+06,1.65794,2244
327,1.25836e+06,0.356746,2184
328,1.25026e+06,0.318438,2487
329,1.38045e+06,0.472885,2281
330,1.24281e+06,0.381697,2266
331,1.27125e+06,0.319799,2225
332,1.31099e+06,0.260868,2444
333,1.32073e+06,0.385851,2247
334,1.23306e+06,0.81336,2055
335,1.21288e+06,0.721846,2240
336,1.33425e+06,0.367865,2345
337,1.20723e+06,0.449346,2188
338,1.24375e+06,0.361211,2302
339,1.23621e+06,0.474384,2382
340,1.19018e+06,0.474449,2373
341,1.25672e+06,0.388344,2458
342,1.48533e+06,0.358765,2448
343,1.30587e+06,0.608308,2362
344,1.2412e+06,0.467287,2426
345,1.26473e+06,3.22896,2195
346,1.28408e+06,1.99707,2269
347,1.30006e+06,2.27322,2077
348,1.31166e+06,0.400462,2147
349,1.24898e+06,0.351171,2192
350,1.27931e+06,0.303383,2368
351,1.30333e+06,0.286017,2287
352,1.22034e+06,0.210358,2351
353,1.24944e+06,0.260165,2341
354,1.18848e+06,0.456051,2504
355,1.31068e+06,0.314394,2337
356,1.27957e+06,0.407879,2216
357,1.31672e+06,0.617201,2213
358,1.30035e+06,0.665988,1963
359,1.26796e+06,0.307509,2246
360,1.19733e+06,0.243236,2379
361,1.29458e+06,0.272507,2464
362,1.33219e+06,2.94708,2427
363,1.32594e+06,6.34633,2122
364,1.21348e+06,0.397938,2165
365,1.34489e+06,0.276115,2335
