Window,Throughput (bits),Avg HoL Delay (s),Dropped
1,53762,0.000217822,0
2,59005,0.00303738,0
3,60372,0.00209375,0
4,58896,0.00102542,0
5,48966,0.00170297,0
6,56763,0.00148649,0
7,52623,0.00251923,0
8,56718,0.00223214,0
9,57342,0.00292035,0
10,62355,0.00201587,0
11,56725,0.00206838,0
12,66971,0.00186508,0
13,66905,0.0040146,0
14,54978,0.002,0
15,54390,0.00223364,0
16,61546,0.00244961,0
17,58879,0.00154545,0
18,65842,0.00209302,0
19,70122,0.00191538,0
20,70685,0.00265625,0
21,65363,0.00194783,0
22,51536,0.00233645,0
23,55348,0.00166071,0
24,72349,0.00133083,0
25,73717,0.00190141,0
26,53370,0.00313274,0
27,66184,0.00330147,0
28,56447,0.00196226,0
29,62398,0.00226718,0
30,75707,0.00361905,0
31,63898,0.00146457,0
32,57628,0.00280992,0
33,70538,0.00231061,0
34,58146,0.00264,0
35,59079,0.00345614,0
36,56680,0.00249593,0
37,65340,0.0021129,0
38,63471,0.00262903,0
39,60083,0.00244737,0
40,65540,0.00161481,0
41,62517,0.00157143,0
42,62408,0.00165854,0
43,58726,0.00237288,0
44,63832,0.00229268,0
45,59693,0.00281356,0
46,61949,0.00177966,0
47,55463,0.00258261,0
48,61899,0.00254032,0
49,75229,0.00221277,0
50,56584,0.00212381,0
51,57268,0.00254717,0
52,63605,0.00198485,0
53,59832,0.00223529,0
54,63366,0.0032619,0
55,68030,0.00321324,0
56,61532,0.00125,0
57,73928,0.00146528,0
58,60360,0.00228926,0
59,57526,0.00185593,0
60,62234,0.00127559,0
61,56195,0.00225455,0
62,60892,0.00220661,0
63,64244,0.00314286,0
64,55202,0.00248739,0
65,54309,0.00218182,0
66,54474,0.00197321,0
67,57836,0.00169643,0
68,62852,0.0031203,0
69,65989,0.00234959,0
70,61030,0.00235714,0
71,65266,0.0018871,0
72,55558,0.0012437,0
73,64772,0.0016015,0
74,51110,0.0012,0
75,58538,0.00211765,0
76,63569,0.00100826,0
77,63749,0.00254032,0
78,59632,0.00165254,0
79,74396,0.00340816,0
80,54308,0.00165094,0
81,69760,0.00251563,0
82,60089,0.00355932,0
83,57280,0.0019375,0
84,50972,0.00416216,0
85,49997,0.00134906,0
86,54176,0.00273148,0
87,60611,0.00126126,0
88,64198,0.00234711,0
89,65351,0.00167424,0
90,62031,0.00123214,0
91,57813,0.0029375,0
92,74785,0.00277143,0
93,50893,0.00105556,0
94,69902,0.00195,0
95,67018,0.00297692,0
96,57863,0.00218018,0
97,66889,0.00240299,0
98,68117,0.00133077,0
99,61077,0.0015339,0
100,59767,0.00218018,0
101,54041,0.00108929,0
102,64015,0.00151818,0
103,55861,0.0021875,0
104,60999,0.00214286,0
105,68800,0.00167424,0
106,58858,0.00271429,0
107,66988,0.00193548,0
108,55162,0.00336697,0
109,54249,0.00211215,0
110,68502,0.00175188,0
111,72148,0.00221986,0
112,59651,0.00237288,0
113,62807,0.00155263,0
114,56604,0.0022521,0
115,68338,0.00282014,0
116,62667,0.0023719,0
117,62975,0.00287705,0
118,61161,0.00154783,0
119,60387,0.00195,0
120,60690,0.0025082,0
121,52744,0.0020381,0
122,60886,0.00315652,0
123,63073,0.00210169,0
124,72724,0.00226429,0
125,55951,0.00402632,0
126,61601,0.00241739,0
127,63452,0.00181538,0
128,48631,0.00331429,0
129,72087,0.00207914,0
130,66853,0.00257143,0
131,71520,0.00208148,0
132,63266,0.00205738,0
133,55440,0.00230476,0
134,61913,0.00159843,0
135,50812,0.00141121,0
136,72371,0.00222857,0
137,66526,0.00231496,0
138,59456,0.00223529,0
139,58350,0.00188889,0
140,51715,0.00204717,0
141,76103,0.00225352,0
142,71661,0.00172388,0
143,64036,0.003528,0
144,63776,0.00315652,0
145,61677,0.00272222,0
146,59717,0.00139655,0
147,49533,0.00151887,0
148,66003,0.00238346,0
149,56233,0.00162727,0
150,55939,0.00165741,0
151,52489,0.00263478,0
152,59234,0.00174359,0
153,63705,0.00266667,0
154,57421,0.00112174,0
155,64756,0.00215267,0
156,56890,0.00243363,0
157,67371,0.00211594,0
158,59592,0.00349107,0
159,56360,0.0033211,0
160,62759,0.00144275,0
161,46113,0.00221649,0
162,54817,0.00250893,0
163,63352,0.00262774,0
164,53746,0.00273529,0
165,60739,0.00333333,0
166,65019,0.002608,0
167,57798,0.00281308,0
168,56730,0.00161947,0
169,58388,0.00178571,0
170,53126,0.00182407,0
171,58649,0.00132479,0
172,59915,0.00331356,0
173,63228,0.00269672,0
174,58221,0.00189655,0
175,50667,0.00159804,0
176,58569,0.001775,0
177,53507,0.00278302,0
178,61968,0.00223577,0
179,60270,0.00202703,0
180,56561,0.00197479,0
181,60156,0.00169565,0
182,68453,0.00158333,0
183,58993,0.00141026,0
184,64810,0.00304098,0
185,53680,0.00174038,0
186,57557,0.00119298,0
187,66668,0.00147656,0
188,58638,0.0011157,0
189,57467,0.00230833,0
190,57996,0.00158475,0
191,68743,0.00228682,0
192,63204,0.0026371,0
193,70358,0.00261069,0
194,62314,0.00356667,0
195,52456,0.00278704,0
196,61505,0.00228226,0
197,71212,0.00275397,0
198,62126,0.00189764,0
199,69176,0.00151111,0
200,61654,0.00140323,0
201,57481,0.00167273,0
202,58840,0.00186607,0
203,58052,0.00321698,0
204,50090,0.00247664,0
205,63758,0.00171212,0
206,57137,0.00409756,0
207,56679,0.00139167,0
208,53770,0.00199107,0
209,52324,0.00176724,0
210,38648,0.00130769,0
211,65138,0.00196241,0
212,67830,0.000864,0
213,67712,0.00162295,0
214,64477,0.00230469,0
215,58679,0.00286087,0
216,51899,0.000826087,0
217,61901,0.002,0
218,66461,0.00195161,0
219,56654,0.0027931,0
220,61421,0.00139695,0
221,68497,0.00208889,0
222,55783,0.00161538,0
223,64028,0.00236585,0
224,49703,0.00313043,0
225,58667,0.00238793,0
226,70143,0.000985612,0
227,58107,0.00325664,0
228,57609,0.00257658,0
229,60329,0.00201587,0
230,59429,0.00444068,0
231,63861,0.00262602,0
232,69784,0.00198485,0
233,63962,0.00204688,0
234,53522,0.00259821,0
235,59192,0.00232143,0
236,71543,0.00255224,0
237,58846,0.00130973,0
238,67452,0.00335659,0
239,49605,0.00299,0
240,74746,0.00241549,0
241,58640,0.00429565,0
242,68361,0.00173846,0
243,59259,0.00133913,0
244,61725,0.00240164,0
245,62920,0.00214925,0
246,57412,0.00140351,0
247,65349,0.00269841,0
248,59821,0.0028,0
249,58810,0.001,0
250,61230,0.00163433,0
251,61966,0.00229545,0
252,69158,0.00270229,0
253,63645,0.002192,0
254,51949,0.0020098,0
255,49243,0.00233663,0
256,53924,0.00172034,0
257,55818,0.00201905,0
258,57896,0.00347321,0
259,53617,0.00200877,0
260,59707,0.00267769,0
261,55901,0.00165217,0
262,67605,0.00156154,0
263,60242,0.00388618,0
264,72483,0.00187324,0
265,57045,0.00278182,0
266,64419,0.00220635,0
267,54794,0.00200917,0
268,55924,0.00191743,0
269,59242,0.00186207,0
270,69932,0.0021145,0
271,61167,0.00323684,0
272,61666,0.00233871,0
273,56439,0.00127193,0
274,54689,0.0016087,0
275,65425,0.00287097,0
276,61972,0.00219328,0
277,66146,0.00315038,0
278,60490,0.00205983,0
279,58198,0.00139831,0
280,58687,0.00210909,0
281,61450,0.00225217,0
282,64675,0.00206299,0
283,57665,0.00117699,0
284,55991,0.000982143,0
285,63991,0.00250794,0
286,54600,0.0015,0
