Window,Throughput (bits),Avg HoL Delay (s),Dropped
1,245991,0.000582121,0
2,228914,0.00193261,0
3,245069,0.00281109,0
4,243872,0.00196573,0
5,267817,0.00191767,0
6,247377,0.00228986,0
7,240337,0.00220782,0
8,234198,0.00211777,0
9,232685,0.00175424,0
10,250428,0.00207392,0
11,215717,0.0029186,0
12,243148,0.00185507,0
13,268027,0.00228797,0
14,256137,0.00252047,0
15,246687,0.00267276,0
16,231313,0.00271092,0
17,237466,0.00257676,0
18,243097,0.00216318,0
19,227132,0.00191202,0
20,248032,0.00244856,0
21,235766,0.00210307,0
22,250926,0.00216194,0
23,233710,0.00218062,0
24,240278,0.00274473,0
25,246677,0.00238333,0
26,255258,0.00242236,0
27,277344,0.00246816,0
28,238605,0.00207281,0
29,233620,0.00241935,0
30,261260,0.002418,0
31,237051,0.0017257,0
32,242524,0.00251153,0
33,239908,0.00212179,0
34,230272,0.00205263,0
35,276328,0.00260674,0
36,273945,0.00286553,0
37,253699,0.00196,0
38,223488,0.00254486,0
39,246805,0.00302737,0
40,223157,0.00275339,0
41,239092,0.00272414,0
42,244648,0.00213636,0
43,231697,0.00218478,0
44,252104,0.00193373,0
45,237671,0.00238771,0
46,239433,0.00232826,0
47,232736,0.0025368,0
48,236889,0.00213062,0
49,256691,0.00232008,0
50,251704,0.00220041,0
51,252088,0.00216973,0
52,215719,0.00164989,0
53,219656,0.00241031,0
54,266430,0.00229367,0
55,250770,0.001938,0
56,241418,0.00187751,0
57,258125,0.00225941,0
58,233057,0.00250976,0
59,265303,0.0026835,0
60,238954,0.00188675,0
61,231535,0.00230357,0
62,238648,0.00227557,0
63,228815,0.0025222,0
64,233080,0.0022334,0
65,243098,0.00191546,0
66,238025,0.00249269,0
67,234131,0.00258462,0
68,248442,0.00234172,0
69,249609,0.00265455,0
70,248886,0.00245791,0
71,246996,0.00250208,0
72,225952,0.00209071,0
73,241271,0.002012,0
74,237067,0.00254525,0
75,251740,0.00236667,0
76,242144,0.00215579,0
77,237424,0.00306694,0
78,232840,0.0021342,0
79,239990,0.00226514,0
80,238615,0.00287049,0
81,237470,0.00220502,0
82,235564,0.00207479,0
83,250516,0.00254331,0
84,235887,0.00234764,0
85,248390,0.00203789,0
86,211886,0.00237063,0
87,250647,0.00210105,0
88,259086,0.00216433,0
89,240067,0.00241875,0
90,242604,0.00240678,0
91,236101,0.00242323,0
92,243112,0.00274214,0
93,234772,0.00223291,0
94,254350,0.0020625,0
95,252324,0.00231697,0
96,227689,0.00313006,0
97,237753,0.00312083,0
98,246018,0.00223529,0
99,245207,0.00263039,0
100,233242,0.00274844,0
