Window,Throughput (bits),Avg HoL Delay (s),Dropped
1,2.90881e+06,0.0326491,882
2,1.24781e+06,0.113261,6854
3,1.30278e+06,0.484863,8090
4,1.31258e+06,0.75799,9463
5,1.21772e+06,1.01633,9706
6,1.33085e+06,1.40329,9399
7,1.35473e+06,1.49446,9343
8,1.27006e+06,1.70104,9509
9,1.26422e+06,1.44626,9468
10,1.29072e+06,1.61974,9347
11,1.1864e+06,1.91516,9456
12,1.3017e+06,2.62041,9418
13,1.25081e+06,2.08426,9560
14,1.15662e+06,2.0855,9744
15,1.24831e+06,2.69297,9635
16,1.24886e+06,2.06513,9604
17,1.2923e+06,1.98269,9353
18,1.36995e+06,1.71615,9445
19,1.35659e+06,1.74013,9118
20,1.2247e+06,1.44684,9519
21,1.29124e+06,1.45177,9211
22,1.35603e+06,1.77749,9421
23,1.36903e+06,1.69534,9106
24,1.29261e+06,2.00485,9365
25,1.22608e+06,1.664,9641
26,1.21694e+06,1.8041,9611
27,1.31586e+06,1.86325,9219
28,1.22768e+06,1.2744,9552
29,1.25228e+06,1.46403,9505
30,1.29212e+06,2.88759,9322
31,1.30456e+06,1.74786,9506
32,1.23683e+06,1.67847,9472
33,1.32886e+06,1.32245,9377
34,1.31436e+06,1.5342,9377
35,1.38472e+06,2.01729,9247
36,1.31906e+06,1.43787,9311
37,1.26035e+06,1.23415,9565
38,1.17484e+06,1.55962,9831
39,1.23837e+06,1.60347,9547
40,1.21916e+06,1.5247,9803
41,1.13853e+06,2.01591,9638
42,1.26693e+06,1.60373,9339
43,1.24031e+06,2.5998,9387
44,1.32559e+06,1.42484,9063
45,1.27041e+06,1.4362,9577
46,1.2715e+06,2.26807,9415
47,1.36037e+06,2.02806,9316
48,1.2733e+06,1.66689,9510
49,1.22504e+06,1.39487,9758
50,1.17392e+06,1.94843,9695
51,1.33906e+06,3.71633,9302
52,1.2939e+06,2.18193,9323
53,1.19059e+06,1.01051,9912
54,1.32914e+06,0.935379,9477
55,1.28731e+06,1.0341,9575
56,1.33958e+06,0.952082,9238
57,1.18668e+06,1.11556,9542
58,1.27504e+06,1.2793,9427
59,1.2378e+06,1.17354,9608
60,1.2172e+06,1.25488,9572
61,1.29099e+06,1.61384,9595
62,1.19905e+06,1.90524,9533
63,1.34337e+06,0.977758,9528
64,1.28526e+06,0.826662,9459
65,1.30683e+06,0.804676,9411
66,1.30859e+06,1.141,9421
67,1.30638e+06,2.8598,9438
68,1.39594e+06,1.80448,9319
69,1.24538e+06,1.02619,9779
70,1.32003e+06,0.865878,9437
71,1.3167e+06,0.867765,9372
72,1.2665e+06,1.07958,9411
73,1.35468e+06,2.53096,9440
74,1.26717e+06,2.62151,9546
75,1.26198e+06,1.19666,9323
76,1.2536e+06,1.14407,9459
77,1.2114e+06,0.845476,9525
78,1.26981e+06,0.93257,9546
79,1.37602e+06,2.32424,9170
80,1.29922e+06,2.87137,9301
81,1.30839e+06,1.46538,9262
82,1.31696e+06,0.906541,9430
83,1.22351e+06,0.941641,9753
84,1.35825e+06,1.84247,9351
85,1.1565e+06,2.0141,9650
86,1.27186e+06,2.72329,9545
87,1.24826e+06,2.97885,9568
88,1.2597e+06,1.127,9668
89,1.29724e+06,1.26928,9441
90,1.23842e+06,1.10883,9391
91,1.23164e+06,0.76551,9401
92,1.33616e+06,1.49234,9188
93,1.19365e+06,2.795,9500
94,1.21156e+06,3.59237,9556
95,1.22337e+06,1.69486,9629
96,1.37865e+06,1.60256,9388
97,1.23884e+06,2.42336,9825
98,1.30113e+06,3.17202,9530
99,1.25942e+06,1.38404,9775
100,1.29131e+06,1.0806,9282
101,1.30436e+06,0.846814,9336
102,1.31123e+06,1.21826,9514
103,1.29711e+06,2.03345,9525
104,1.23188e+06,1.56993,9655
105,1.29635e+06,6.25493,9575
106,1.224e+06,2.71034,9597
107,1.24424e+06,1.27612,9681
108,1.24801e+06,2.08835,9257
109,1.25155e+06,0.966253,9483
110,1.34194e+06,1.18486,9400
111,1.33206e+06,0.998448,9457
112,1.32267e+06,0.86654,9413
113,1.2809e+06,0.779002,9314
114,1.19538e+06,0.836101,9549
115,1.3791e+06,0.783346,9249
116,1.30314e+06,1.02848,9303
117,1.32463e+06,1.09837,9434
118,1.31079e+06,0.735056,9173
119,1.1869e+06,0.778199,9606
120,1.26501e+06,1.30721,9576
121,1.25557e+06,3.49301,9517
122,1.35008e+06,1.69819,9405
123,1.27843e+06,1.42807,9522
124,1.25961e+06,0.77037,9499
125,1.25119e+06,0.76642,9621
126,1.23254e+06,0.868798,9465
127,1.26176e+06,0.9149,9425
128,1.34095e+06,1.04807,9367
129,1.23966e+06,0.983844,9407
130,1.26314e+06,1.28242,9430
131,1.32931e+06,0.832419,9327
