Window,Throughput_bits,Throughput_Mbps,Avg_HoL_Delay_s,Dropped
775,819305,1.63861,0.000278261,0
776,800292,1.60058,0.00046696,0
777,760434,1.52087,0.000405405,0
778,829236,1.65847,0.000366379,0
779,788991,1.57798,0.000419214,0
780,890565,1.78113,0.000356589,0
781,854994,1.70999,0.000477912,0
782,886863,1.77373,0.000322709,0
783,937453,1.87491,0.000526119,0
784,729814,1.45963,0.000312796,0
785,801095,1.60219,0.000641026,0
786,776115,1.55223,0.000607306,0
787,840503,1.68101,0.000334694,0
788,812686,1.62537,0.000594142,0
789,810735,1.62147,0.000364807,0
790,775770,1.55154,0.000484581,0
791,780394,1.56079,0.000532468,0
792,857262,1.71452,0.000347458,0
793,772578,1.54516,0.000252252,0
794,875046,1.75009,0.000461538,0
795,751828,1.50366,0.000432432,0
796,814743,1.62949,0.000551282,0
797,875482,1.75096,0.000585062,0
798,848687,1.69737,0.000362903,0
799,772998,1.546,0.000258929,0
800,834424,1.66885,0.000358025,0
801,714017,1.42803,0.000462264,0
802,862799,1.7256,0.000545817,0
803,854138,1.70828,0.0006125,0
804,867854,1.73571,0.000626556,0
805,817544,1.63509,0.000238298,0
806,755795,1.51159,0.000458874,0
807,893103,1.78621,0.000455253,0
808,804051,1.6081,0.000647541,0
809,822470,1.64494,0.000297872,0
810,882683,1.76537,0.000720833,0
811,857518,1.71504,0.000454918,0
812,964630,1.92926,0.000349442,0
813,820605,1.64121,0.00068559,0
814,882402,1.7648,0.00046063,0
815,853471,1.70694,0.000573643,0
816,873593,1.74719,0.000435606,0
817,872187,1.74437,0.000347826,0
818,773340,1.54668,0.000441441,0
819,811375,1.62275,0.000562232,0
820,735786,1.47157,0.000423963,0
821,937506,1.87501,0.000404494,0
822,815770,1.63154,0.000469388,0
823,838302,1.6766,0.000340081,0
824,790370,1.58074,0.000361607,0
825,854999,1.71,0.000584746,0
826,854927,1.70985,0.000389558,0
827,814116,1.62823,0.000443038,0
828,850062,1.70012,0.000247967,0
829,812917,1.62583,0.000294643,0
830,800918,1.60184,0.000490991,0
831,823401,1.6468,0.000368644,0
832,715122,1.43024,0.00054717,0
833,840667,1.68133,0.000517094,0
834,887032,1.77406,0.000544355,0
835,786231,1.57246,0.000528384,0
836,743033,1.48607,0.000252336,0
837,921483,1.84297,0.000344322,0
838,949930,1.89986,0.000441948,0
839,805968,1.61194,0.000275862,0
840,860308,1.72062,0.000598456,0
841,834433,1.66887,0.000520161,0
842,801725,1.60345,0.000517391,0
843,985462,1.97092,0.000294326,0
844,901250,1.8025,0.000688,0
845,881791,1.76358,0.0002749,0
846,794207,1.58841,0.000462222,0
847,895416,1.79083,0.000358566,0
848,898514,1.79703,0.000521073,0
849,838216,1.67643,0.000456067,0
850,844110,1.68822,0.000414343,0
851,837592,1.67518,0.000623967,0
852,835454,1.67091,0.000453744,0
853,852816,1.70563,0.000392562,0
854,812684,1.62537,0.000577586,0
855,874857,1.74971,0.000426778,0
856,814975,1.62995,0.000399123,0
857,866738,1.73348,0.000506073,0
858,821203,1.64241,0.00036087,0
859,778180,1.55636,0.00046696,0
860,893778,1.78756,0.0005,0
861,817516,1.63503,0.000391667,0
862,843277,1.68655,0.000529661,0
863,736733,1.47347,0.00309259,0
864,844026,1.68805,0.000359833,0
865,865864,1.73173,0.000435146,0
866,780985,1.56197,0.000552174,0
867,937119,1.87424,0.000587549,0
868,956070,1.91214,0.000485612,0
869,826316,1.65263,0.000334764,0
870,924925,1.84985,0.000396078,0
871,768842,1.53768,0.000436364,0
872,903974,1.80795,0.000379032,0
873,871689,1.74338,0.000408907,0
874,802027,1.60405,0.000361233,0
875,887189,1.77438,0.00036,0
876,947697,1.89539,0.000371648,0
877,870406,1.74081,0.000386454,0
878,835478,1.67096,0.000414226,0
879,843950,1.6879,0.000367089,0
880,904383,1.80877,0.000442231,0
881,779335,1.55867,0.000415929,0
882,874566,1.74913,0.000476,0
883,863324,1.72665,0.000439834,0
884,807910,1.61582,0.000449153,0
885,859262,1.71852,0.00024898,0
886,775289,1.55058,0.000371681,0
887,763603,1.52721,0.000423963,0
888,820551,1.6411,0.000478814,0
889,837698,1.6754,0.000430328,0
890,897523,1.79505,0.000437008,0
891,720804,1.44161,0.000396226,0
892,797407,1.59481,0.000598174,0
893,922368,1.84474,0.000410448,0
894,889158,1.77832,0.000455285,0
895,803013,1.60603,0.000493333,0
896,895668,1.79134,0.000634538,0
897,804913,1.60983,0.000401747,0
898,772398,1.5448,0.000408696,0
899,855011,1.71002,0.000304878,0
900,844572,1.68914,0.000495798,0
901,831516,1.66303,0.000542857,0
902,852309,1.70462,0.000513725,0
903,751305,1.50261,0.000413146,0
904,831158,1.66232,0.000555556,0
905,847858,1.69572,0.000253112,0
906,810694,1.62139,0.000340517,0
907,834832,1.66966,0.000452,0
908,824058,1.64812,0.000338912,0
909,950048,1.9001,0.000361624,0
910,803239,1.60648,0.000489083,0
911,902519,1.80504,0.000413655,0
912,832660,1.66532,0.000865546,0
913,812073,1.62415,0.000350877,0
914,865815,1.73163,0.000389558,0
915,708216,1.41643,0.000637209,0
916,878430,1.75686,0.000531008,0
917,793508,1.58702,0.000485356,0
918,892687,1.78537,0.000278008,0
919,955834,1.91167,0.000437262,0
920,729820,1.45964,0.000606635,0
921,813008,1.62602,0.000460177,0
922,872934,1.74587,0.00065,0
923,829508,1.65902,0.00054321,0
924,721683,1.44337,0.000554502,0
925,822832,1.64566,0.000366667,0
926,759488,1.51898,0.000529412,0
927,894305,1.78861,0.00042803,0
928,878460,1.75692,0.000534979,0
929,964245,1.92849,0.000352113,0
930,791408,1.58282,0.000432432,0
931,795234,1.59047,0.000396476,0
932,883677,1.76735,0.000253061,0
933,884060,1.76812,0.000448819,0
934,765493,1.53099,0.000452489,0
935,917748,1.8355,0.000434783,0
936,862323,1.72465,0.000545455,0
937,891815,1.78363,0.000396825,0
938,931698,1.8634,0.000183908,0
939,868676,1.73735,0.000304,0
940,891219,1.78244,0.000322957,0
941,847987,1.69597,0.000491597,0
942,864988,1.72998,0.00046063,0
943,882619,1.76524,0.000688462,0
944,844464,1.68893,0.000419492,0
945,829293,1.65859,0.000561983,0
946,842798,1.6856,0.000404959,0
947,762692,1.52538,0.00053913,0
948,763758,1.52752,0.000747748,0
949,695439,1.39088,0.000312195,0
950,874514,1.74903,0.000511364,0
951,911752,1.8235,0.00056015,0
952,871506,1.74301,0.000388462,0
953,820491,1.64098,0.000312217,0
954,803007,1.60601,0.000487069,0
955,824989,1.64998,0.000412955,0
956,842555,1.68511,0.000719008,0
957,779497,1.55899,0.000555066,0
958,850275,1.70055,0.00045749,0
959,892445,1.78489,0.000330677,0
960,785304,1.57061,0.00053125,0
961,780179,1.56036,0.000635556,0
962,757347,1.51469,0.000455357,0
963,906988,1.81398,0.000449612,0
964,915459,1.83092,0.000378788,0
965,908512,1.81702,0.000452,0
966,711703,1.42341,0.000574766,0
967,914347,1.82869,0.000426966,0
968,751639,1.50328,0.000408451,0
969,903926,1.80785,0.000505837,0
970,858040,1.71608,0.000371094,0
971,747807,1.49561,0.000694323,0
972,818875,1.63775,0.00042616,0
973,863267,1.72653,0.000381526,0
974,912882,1.82576,0.00030315,0
975,802175,1.60435,0.000464912,0
976,910026,1.82005,0.000382813,0
977,850469,1.70094,0.00044898,0
978,851220,1.70244,0.000399194,0
979,811432,1.62286,0.000426778,0
980,775854,1.55171,0.000650224,0
981,887646,1.77529,0.000513944,0
982,943730,1.88746,0.000419708,0
983,822184,1.64437,0.000476596,0
984,857600,1.7152,0.000516667,0
985,908366,1.81673,0.000330645,0
986,828367,1.65673,0.000380342,0
987,824789,1.64958,0.000474138,0
988,807857,1.61571,0.000665289,0
989,844796,1.68959,0.00050431,0
990,822897,1.64579,0.000385593,0
991,821647,1.64329,0.000349138,0
992,907939,1.81588,0.000463035,0
993,891695,1.78339,0.000623077,0
994,919061,1.83812,0.00031746,0
995,817036,1.63407,0.000421277,0
996,851431,1.70286,0.000291498,0
997,889709,1.77942,0.00041502,0
998,736785,1.47357,0.000429245,0
999,830842,1.66168,0.000344538,0
1000,941588,1.88318,0.000412879,0
