Window,Throughput_bits,Throughput_Mbps,Avg_HoL_Delay_s,Dropped
177,902600,1.8052,0.000361217,0
178,932740,1.86548,0.000503846,0
179,762028,1.52406,0.000400922,0
180,772339,1.54468,0.000301802,0
181,840194,1.68039,0.000539749,0
182,820091,1.64018,0.000409836,0
183,898810,1.79762,0.000365079,0
184,878230,1.75646,0.000533865,0
185,803213,1.60643,0.000706422,0
186,841091,1.68218,0.000282258,0
187,864291,1.72858,0.000485714,0
188,787048,1.5741,0.000491379,0
189,796612,1.59322,0.000627615,0
190,856519,1.71304,0.000442149,0
191,744304,1.48861,0.000690909,0
192,823890,1.64778,0.00038843,0
193,737139,1.47428,0.0004,0
194,811997,1.62399,0.000344828,0
195,834156,1.66831,0.000514523,0
196,1.01091e+06,2.02182,0.000346154,0
197,735052,1.4701,0.000444444,0
198,794293,1.58859,0.000343478,0
199,794662,1.58932,0.000321586,0
200,803461,1.60692,0.000375527,0
201,726107,1.45221,0.00065566,0
202,887969,1.77594,0.00041129,0
203,829564,1.65913,0.000397436,0
204,772730,1.54546,0.000628959,0
205,800201,1.6004,0.000493617,0
206,848729,1.69746,0.000428,0
207,821059,1.64212,0.000357143,0
208,877274,1.75455,0.0004,0
209,837824,1.67565,0.000283262,0
210,846918,1.69384,0.000405983,0
211,973719,1.94744,0.000548387,0
212,827017,1.65403,0.000464435,0
213,825142,1.65028,0.000419087,0
214,802630,1.60526,0.0004375,0
215,910951,1.8219,0.000442688,0
216,799218,1.59844,0.000549784,0
217,937849,1.8757,0.000416031,0
218,795296,1.59059,0.000469565,0
219,808054,1.61611,0.000333333,0
220,860299,1.7206,0.000613445,0
221,862750,1.7255,0.000508475,0
222,897056,1.79411,0.000571429,0
223,776454,1.55291,0.000581081,0
224,876735,1.75347,0.000738281,0
225,904847,1.80969,0.000496154,0
226,869607,1.73921,0.000425,0
227,831418,1.66284,0.000531915,0
228,819834,1.63967,0.000310345,0
229,849360,1.69872,0.000461847,0
230,865968,1.73194,0.010209,0
231,746426,1.49285,0.00101762,0
232,864616,1.72923,0.000553279,0
233,797856,1.59571,0.000419913,0
234,800190,1.60038,0.000205882,0
235,867902,1.7358,0.00026506,0
236,824788,1.64958,0.000378723,0
237,920845,1.84169,0.000344569,0
238,934905,1.86981,0.000469697,0
239,814604,1.62921,0.000451883,0
240,854620,1.70924,0.000425287,0
241,817873,1.63575,0.000364754,0
242,973813,1.94763,0.000358423,0
243,780173,1.56035,0.000913043,0
244,835565,1.67113,0.00035443,0
245,712411,1.42482,0.000509709,0
246,808862,1.61772,0.000336066,0
247,852836,1.70567,0.0004125,0
248,846145,1.69229,0.000554656,0
249,871227,1.74245,0.000481172,0
250,865827,1.73165,0.000468354,0
251,805537,1.61107,0.000304348,0
252,808111,1.61622,0.000891892,0
253,820442,1.64088,0.000761317,0
254,811360,1.62272,0.000452,0
255,904792,1.80958,0.000317647,0
256,813417,1.62683,0.000472803,0
257,781247,1.56249,0.000339207,0
258,740929,1.48186,0.000422727,0
259,756553,1.51311,0.000548387,0
260,877685,1.75537,0.000559524,0
261,901536,1.80307,0.000534884,0
262,738175,1.47635,0.000366667,0
263,904680,1.80936,0.000397683,0
264,796875,1.59375,0.000524229,0
265,870612,1.74122,0.000396078,0
266,696664,1.39333,0.000525253,0
267,819030,1.63806,0.000663717,0
268,854892,1.70978,0.000394422,0
269,784596,1.56919,0.000460829,0
270,793577,1.58715,0.000515284,0
271,834598,1.6692,0.0024,0
272,879407,1.75881,0.000425703,0
273,822153,1.64431,0.000600858,0
274,1.01117e+06,2.02234,0.000372822,0
275,819198,1.6384,0.000554585,0
276,875744,1.75149,0.000381526,0
277,829742,1.65948,0.000420354,0
278,819770,1.63954,0.000516529,0
279,911553,1.82311,0.000455253,0
280,842135,1.68427,0.000479167,0
281,1.01124e+06,2.02248,0.00030662,0
282,908815,1.81763,0.000444,0
283,864963,1.72993,0.00044898,0
284,906020,1.81204,0.000621094,0
285,877739,1.75548,0.000368627,0
286,803592,1.60718,0.000636771,0
287,968431,1.93686,0.000446886,0
288,751193,1.50239,0.000536364,0
289,943458,1.88692,0.000576208,0
290,806887,1.61377,0.000535565,0
291,753362,1.50672,0.000585253,0
292,873291,1.74658,0.000349593,0
293,787089,1.57418,0.000475983,0
294,773026,1.54605,0.000534562,0
295,826932,1.65386,0.000517094,0
296,774058,1.54812,0.0006875,0
297,833278,1.66656,0.000529661,0
298,914506,1.82901,0.000687747,0
299,871581,1.74316,0.000357724,0
300,796144,1.59229,0.000365217,0
301,751332,1.50266,0.000283784,0
302,862764,1.72553,0.000303279,0
303,791163,1.58233,0.000491379,0
304,866844,1.73369,0.000394068,0
305,827555,1.65511,0.000569038,0
306,748421,1.49684,0.000561644,0
307,883488,1.76698,0.000574297,0
308,884697,1.76939,0.000395062,0
309,724737,1.44947,0.000592233,0
310,865543,1.73109,0.000380952,0
311,903667,1.80733,0.000574713,0
312,859367,1.71873,0.000409091,0
313,963779,1.92756,0.000458333,0
314,858105,1.71621,0.000773663,0
315,890053,1.78011,0.00200775,0
316,746244,1.49249,0.000427907,0
317,802346,1.60469,0.00044958,0
318,807493,1.61499,0.00058952,0
319,889807,1.77961,0.000469231,0
320,954302,1.9086,0.000488462,0
321,857540,1.71508,0.000440329,0
322,817285,1.63457,0.00035865,0
323,924866,1.84973,0.000550562,0
324,913455,1.82691,0.000681992,0
325,891500,1.783,0.000473684,0
326,864889,1.72978,0.000504202,0
327,882648,1.7653,0.000426295,0
328,748787,1.49757,0.0005,0
329,855179,1.71036,0.000413655,0
330,869798,1.7396,0.000338645,0
331,812004,1.62401,0.000333333,0
332,810426,1.62085,0.000362832,0
333,839407,1.67881,0.000454167,0
334,884070,1.76814,0.000516,0
335,774030,1.54806,0.000563063,0
336,896481,1.79296,0.000305556,0
337,894137,1.78827,0.000345382,0
338,919126,1.83825,0.000442308,0
339,866531,1.73306,0.000546939,0
340,950079,1.90016,0.000427536,0
341,842707,1.68541,0.000369099,0
342,790726,1.58145,0.000679245,0
343,829280,1.65856,0.000469565,0
344,872312,1.74462,0.000654762,0
345,850256,1.70051,0.000447699,0
346,876852,1.7537,0.000452282,0
347,772488,1.54498,0.000423423,0
348,972058,1.94412,0.000268551,0
349,889101,1.7782,0.000358871,0
350,977052,1.9541,0.000545455,0
351,811960,1.62392,0.000579399,0
352,804167,1.60833,0.000369565,0
353,863945,1.72789,0.00025,0
354,907909,1.81582,0.000544747,0
355,799831,1.59966,0.000488987,0
356,869014,1.73803,0.000306452,0
357,857735,1.71547,0.000253012,0
358,920005,1.84001,0.000388679,0
359,968770,1.93754,0.00097786,0
360,851668,1.70334,0.000336032,0
361,850270,1.70054,0.000367769,0
362,857893,1.71579,0.000585062,0
363,882471,1.76494,0.000289683,0
364,876773,1.75355,0.000540541,0
365,828237,1.65647,0.000571429,0
366,935813,1.87163,0.000444867,0
367,694795,1.38959,0.000548718,0
368,850703,1.70141,0.000360996,0
369,768526,1.53705,0.000471111,0
370,843311,1.68662,0.000367089,0
371,915042,1.83008,0.000456274,0
372,744982,1.48996,0.000400943,0
373,810083,1.62017,0.000497908,0
374,814961,1.62992,0.000333333,0
375,913887,1.82777,0.00033463,0
376,889674,1.77935,0.000423529,0
377,824157,1.64831,0.000495968,0
378,896719,1.79344,0.000382239,0
379,875014,1.75003,0.000595833,0
380,804511,1.60902,0.000581498,0
381,832686,1.66537,0.000401747,0
382,982335,1.96467,0.000476364,0
383,841286,1.68257,0.000508696,0
384,737349,1.4747,0.000382075,0
385,815613,1.63123,0.00052766,0
386,893499,1.787,0.000362205,0
387,792543,1.58509,0.000394737,0
388,785354,1.57071,0.000532407,0
389,820482,1.64096,0.000285124,0
390,809457,1.61891,0.000618834,0
391,947396,1.89479,0.000537906,0
392,685004,1.37001,0.000517949,0
393,771582,1.54316,0.000554054,0
394,957485,1.91497,0.000472325,0
395,841621,1.68324,0.000334728,0
396,938869,1.87774,0.000453846,0
397,833810,1.66762,0.000446281,0
398,849922,1.69984,0.000318548,0
399,838608,1.67722,0.000353659,0
400,740329,1.48066,0.000515982,0
401,813367,1.62673,0.000599156,0
402,904289,1.80858,0.000382239,0
403,834168,1.66834,0.00045122,0
404,874011,1.74802,0.000555556,0
405,870974,1.74195,0.000376033,0
406,775854,1.55171,0.000796296,0
407,828553,1.65711,0.000524793,0
408,706099,1.4122,0.000459596,0
409,814770,1.62954,0.000630705,0
410,822230,1.64446,0.000329114,0
411,687519,1.37504,0.000431373,0
412,788729,1.57746,0.000336364,0
413,825322,1.65064,0.000445887,0
414,784226,1.56845,0.00060177,0
415,840892,1.68178,0.000570796,0
416,916887,1.83377,0.000365759,0
417,792879,1.58576,0.000318182,0
418,780002,1.56,0.00030531,0
419,901542,1.80308,0.000386973,0
420,848668,1.69734,0.000591667,0
421,940018,1.88004,0.000574713,0
422,774776,1.54955,0.000373913,0
423,891041,1.78208,0.000530769,0
424,861082,1.72216,0.000495902,0
425,872281,1.74456,0.000589641,0
426,817439,1.63488,0.000548936,0
427,788989,1.57798,0.0003,0
428,876069,1.75214,0.000236735,0
429,816473,1.63295,0.000531915,0
430,748491,1.49698,0.000337838,0
431,931959,1.86392,0.000548872,0
432,905350,1.8107,0.000596078,0
433,814933,1.62987,0.000573913,0
434,925750,1.8515,0.000288973,0
435,824133,1.64827,0.000502183,0
436,868334,1.73667,0.000402542,0
437,800967,1.60193,0.00032618,0
438,820871,1.64174,0.000402597,0
439,861623,1.72325,0.000443038,0
440,842378,1.68476,0.000369748,0
441,890123,1.78025,0.000706349,0
442,824662,1.64932,0.000258333,0
443,780889,1.56178,0.000244344,0
444,1.03714e+06,2.07427,0.000444828,0
445,833157,1.66631,0.000513043,0
446,875947,1.75189,0.000519685,0
447,805559,1.61112,0.000522124,0
448,815035,1.63007,0.000418033,0
449,871538,1.74308,0.000650407,0
450,858899,1.7178,0.000612,0
451,859024,1.71805,0.000510204,0
452,987001,1.974,0.000581818,0
453,901837,1.80367,0.000467742,0
454,835474,1.67095,0.00037931,0
455,859751,1.7195,0.000478992,0
456,853761,1.70752,0.000336,0
457,846490,1.69298,0.000373077,0
458,941034,1.88207,0.000363985,0
459,850930,1.70186,0.000590517,0
460,914393,1.82879,0.00198456,0
461,902305,1.80461,0.000439689,0
462,783157,1.56631,0.000532468,0
463,780451,1.5609,0.000565022,0
464,810186,1.62037,0.00041841,0
465,890455,1.78091,0.00048374,0
466,853320,1.70664,0.00035124,0
467,923395,1.84679,0.000418251,0
468,892181,1.78436,0.000330739,0
469,857168,1.71434,0.000537849,0
470,873070,1.74614,0.000586777,0
471,885956,1.77191,0.000417323,0
472,842604,1.68521,0.000545082,0
473,831817,1.66363,0.000244813,0
474,741631,1.48326,0.000525346,0
475,896225,1.79245,0.000486486,0
476,748237,1.49647,0.000593607,0
477,853397,1.70679,0.000479508,0
478,809414,1.61883,0.000641593,0
479,820738,1.64148,0.000274336,0
480,734779,1.46956,0.000356481,0
481,819766,1.63953,0.0004,0
482,853925,1.70785,0.000608,0
483,840519,1.68104,0.000381356,0
484,841308,1.68262,0.000338843,0
485,732623,1.46525,0.000728155,0
486,891689,1.78338,0.000525692,0
487,924794,1.84959,0.00043254,0
488,780853,1.56171,0.000669565,0
489,896619,1.79324,0.0004375,0
490,838137,1.67627,0.000556452,0
491,904623,1.80925,0.000543726,0
492,877567,1.75513,0.000520492,0
493,806044,1.61209,0.000372881,0
494,817695,1.63539,0.000686192,0
495,781340,1.56268,0.000436441,0
496,876990,1.75398,0.000552846,0
497,759783,1.51957,0.00193694,0
498,865261,1.73052,0.000496,0
499,845418,1.69084,0.000355372,0
500,767485,1.53497,0.000285714,0
501,878384,1.75677,0.000257028,0
502,819138,1.63828,0.000572016,0
503,896587,1.79317,0.000544402,0
504,779815,1.55963,0.000542986,0
505,813466,1.62693,0.000745536,0
506,816320,1.63264,0.000487603,0
507,765928,1.53186,0.000502203,0
508,793030,1.58606,0.000314655,0
509,912233,1.82447,0.0005,0
510,772267,1.54453,0.000380952,0
511,885377,1.77075,0.000464567,0
512,787572,1.57514,0.000414097,0
513,858738,1.71748,0.000564315,0
514,782424,1.56485,0.000570093,0
515,770481,1.54096,0.000441964,0
516,903327,1.80665,0.000476378,0
517,814248,1.6285,0.000389381,0
518,802674,1.60535,0.000337662,0
519,877690,1.75538,0.000506122,0
520,781792,1.56358,0.000676991,0
521,867671,1.73534,0.000494024,0
522,905189,1.81038,0.000450758,0
523,838320,1.67664,0.000347458,0
524,815268,1.63054,0.000421941,0
525,839416,1.67883,0.000728,0
526,926615,1.85323,0.000382022,0
527,831812,1.66362,0.000612069,0
528,711307,1.42261,0.000704225,0
529,877316,1.75463,0.000518219,0
530,776349,1.5527,0.000647059,0
531,743682,1.48736,0.000582938,0
532,838635,1.67727,0.000669421,0
533,935157,1.87031,0.000332075,0
534,820877,1.64175,0.000483193,0
535,906764,1.81353,0.000403042,0
536,903851,1.8077,0.000480159,0
537,821240,1.64248,0.000581197,0
538,821998,1.644,0.000446429,0
539,803476,1.60695,0.00051626,0
540,803952,1.6079,0.000477876,0
541,872018,1.74404,0.000293651,0
542,885451,1.7709,0.000448413,0
543,928436,1.85687,0.000579545,0
544,832610,1.66522,0.000235808,0
545,863553,1.72711,0.00046875,0
546,874789,1.74958,0.0001875,0
547,769278,1.53856,0.000633621,0
548,802039,1.60408,0.000420091,0
549,959112,1.91822,0.000558394,0
550,775753,1.55151,0.000493333,0
551,757385,1.51477,0.000427273,0
552,883268,1.76654,0.000513944,0
553,845665,1.69133,0.000458498,0
554,818779,1.63756,0.000705128,0
555,705218,1.41044,0.000742718,0
556,871378,1.74276,0.000328063,0
557,853090,1.70618,0.000619469,0
558,877061,1.75412,0.000325103,0
559,828187,1.65637,0.000613169,0
560,784494,1.56899,0.000228814,0
561,701750,1.4035,0.000305825,0
562,881450,1.7629,0.000448133,0
563,855196,1.71039,0.000334646,0
564,882808,1.76562,0.000585938,0
565,829574,1.65915,0.000595142,0
566,827541,1.65508,0.000432314,0
567,845251,1.6905,0.000395349,0
568,830752,1.6615,0.000378601,0
569,920649,1.8413,0.000210728,0
570,819441,1.63888,0.000294355,0
571,865668,1.73134,0.000337398,0
572,839824,1.67965,0.000268595,0
573,873323,1.74665,0.000455939,0
574,777937,1.55587,0.000342105,0
575,919405,1.83881,0.000469231,0
576,889230,1.77846,0.000468254,0
577,921175,1.84235,0.000612167,0
578,861883,1.72377,0.000331984,0
579,831508,1.66302,0.000366812,0
580,840258,1.68052,0.000535865,0
581,868376,1.73675,0.000454918,0
582,835341,1.67068,0.000536585,0
583,905985,1.81197,0.00051341,0
584,930064,1.86013,0.000344828,0
585,918423,1.83685,0.000562992,0
586,934319,1.86864,0.000377358,0
587,785563,1.57113,0.000301802,0
588,844111,1.68822,0.00032906,0
589,899898,1.7998,0.000264822,0
590,757787,1.51557,0.000392241,0
591,800073,1.60015,0.000541322,0
592,758138,1.51628,0.000463768,0
593,949240,1.89848,0.000494297,0
594,990555,1.98111,0.00034058,0
595,918292,1.83658,0.000420635,0
596,771568,1.54314,0.000412037,0
597,855221,1.71044,0.000359504,0
598,834114,1.66823,0.000584416,0
599,798969,1.59794,0.000616071,0
600,823222,1.64644,0.000866379,0
601,843074,1.68615,0.000283465,0
602,815342,1.63068,0.000543103,0
603,796800,1.5936,0.000444444,0
604,832749,1.6655,0.000358871,0
605,794939,1.58988,0.000535088,0
606,844957,1.68991,0.000634454,0
607,811589,1.62318,0.0005,0
608,874767,1.74953,0.000387597,0
609,870433,1.74087,0.000387352,0
610,728184,1.45637,0.000380734,0
611,891709,1.78342,0.000442688,0
612,778574,1.55715,0.000497908,0
613,918204,1.83641,0.000470817,0
614,861403,1.72281,0.000456432,0
615,817141,1.63428,0.00052381,0
616,858329,1.71666,0.000608163,0
617,953990,1.90798,0.000357143,0
618,876601,1.7532,0.000434263,0
619,917243,1.83449,0.000353612,0
620,848192,1.69638,0.000677551,0
621,832748,1.6655,0.000637931,0
622,871875,1.74375,0.000336032,0
623,890168,1.78034,0.000572,0
624,842292,1.68458,0.000300847,0
625,752438,1.50488,0.000288288,0
626,826587,1.65317,0.000458874,0
627,936126,1.87225,0.000334586,0
628,803827,1.60765,0.000258333,0
629,910603,1.82121,0.00037931,0
630,857044,1.71409,0.000593361,0
631,880605,1.76121,0.000496032,0
632,816965,1.63393,0.000512397,0
633,831476,1.66295,0.000546218,0
634,803458,1.60692,0.000552632,0
635,827958,1.65592,0.000644351,0
636,861526,1.72305,0.000497942,0
637,876177,1.75235,0.000342742,0
638,832191,1.66438,0.000491453,0
639,941918,1.88384,0.000820225,0
640,705615,1.41123,0.000436019,0
641,869046,1.73809,0.000587755,0
642,843112,1.68622,0.00025,0
643,756301,1.5126,0.000453704,0
644,745677,1.49135,0.000525114,0
645,921413,1.84283,0.000377358,0
646,846606,1.69321,0.000327801,0
647,941950,1.8839,0.000438931,0
648,816206,1.63241,0.000523013,0
649,762753,1.52551,0.000393665,0
650,832149,1.6643,0.00064876,0
651,795103,1.59021,0.000515152,0
652,768487,1.53697,0.000425339,0
653,851458,1.70292,0.000545082,0
654,844162,1.68832,0.000394191,0
655,828180,1.65636,0.000296137,0
656,856595,1.71319,0.000493776,0
657,831604,1.66321,0.00060515,0
658,858751,1.7175,0.000432203,0
659,945502,1.891,0.000323529,0
660,799292,1.59858,0.000411017,0
661,899810,1.79962,0.000517787,0
662,711612,1.42322,0.000434579,0
663,856694,1.71339,0.000326446,0
664,806458,1.61292,0.000419214,0
665,914733,1.82947,0.00043295,0
666,845067,1.69013,0.000572614,0
667,758423,1.51685,0.000341014,0
668,756552,1.5131,0.000390698,0
669,851216,1.70243,0.000327801,0
670,820254,1.64051,0.000276316,0
671,788245,1.57649,0.000628821,0
672,961242,1.92248,0.000524715,0
673,827865,1.65573,0.000470085,0
674,835075,1.67015,0.000429167,0
675,735260,1.47052,0.000452381,0
676,784503,1.56901,0.000726027,0
677,825956,1.65191,0.000493562,0
678,860272,1.72054,0.000493671,0
679,829371,1.65874,0.000570815,0
680,807426,1.61485,0.000525862,0
681,848039,1.69608,0.000398406,0
682,761672,1.52334,0.000372197,0
683,891177,1.78235,0.000448,0
684,905469,1.81094,0.000356,0
685,831756,1.66351,0.0107314,0
686,817888,1.63578,0.000405286,0
687,757551,1.5151,0.000504717,0
688,848609,1.69722,0.000497976,0
689,833869,1.66774,0.000348739,0
690,751160,1.50232,0.000741935,0
691,828870,1.65774,0.000255319,0
692,899375,1.79875,0.000240816,0
693,867580,1.73516,0.000269076,0
694,867624,1.73525,0.000707317,0
695,898158,1.79632,0.000437751,0
696,882144,1.76429,0.00052381,0
697,777340,1.55468,0.000232143,0
698,945040,1.89008,0.000514706,0
699,835331,1.67066,0.000502058,0
700,779638,1.55928,0.000474886,0
701,803497,1.60699,0.000600877,0
702,829687,1.65937,0.000429719,0
703,784556,1.56911,0.000486726,0
704,895868,1.79174,0.000412,0
705,731923,1.46385,0.000303738,0
706,860849,1.7217,0.000515873,0
707,877177,1.75435,0.000382114,0
708,864582,1.72916,0.000426357,0
709,853935,1.70787,0.000355649,0
710,902228,1.80446,0.000387218,0
711,963010,1.92602,0.000423792,0
712,801407,1.60281,0.000549784,0
713,853294,1.70659,0.000474308,0
714,877301,1.7546,0.000466403,0
715,824268,1.64854,0.000427386,0
716,772911,1.54582,0.000392241,0
717,767959,1.53592,0.000401786,0
718,868886,1.73777,0.000512195,0
719,714830,1.42966,0.000230415,0
720,834920,1.66984,0.000623431,0
721,796955,1.59391,0.000352679,0
722,842354,1.68471,0.00062,0
723,802846,1.60569,0.000440678,0
724,772120,1.54424,0.000294118,0
725,875802,1.7516,0.000403774,0
726,881634,1.76327,0.000513514,0
727,780589,1.56118,0.000333333,0
728,854372,1.70874,0.0004875,0
729,880277,1.76055,0.000557377,0
730,819863,1.63973,0.000358974,0
731,916204,1.83241,0.00207722,0
732,826101,1.6522,0.000783898,0
733,784688,1.56938,0.000618182,0
734,814799,1.6296,0.00035865,0
735,735753,1.47151,0.000456621,0
736,802190,1.60438,0.000297414,0
737,882824,1.76565,0.000590164,0
738,828104,1.65621,0.000438525,0
739,823508,1.64702,0.000495798,0
740,754208,1.50842,0.000502262,0
741,728175,1.45635,0.000486111,0
742,867203,1.73441,0.000504065,0
743,863457,1.72691,0.000373541,0
744,776110,1.55222,0.000666667,0
745,855657,1.71131,0.000353659,0
746,860124,1.72025,0.000235537,0
747,802948,1.6059,0.000394737,0
748,916997,1.83399,0.000580769,0
749,755325,1.51065,0.000295652,0
750,798099,1.5962,0.000756522,0
751,834878,1.66976,0.000618026,0
752,800948,1.6019,0.000480176,0
753,867384,1.73477,0.000399177,0
754,969777,1.93955,0.000339483,0
755,808916,1.61783,0.000525641,0
756,749238,1.49848,0.000559471,0
757,864529,1.72906,0.000593625,0
758,813417,1.62683,0.000451327,0
759,911765,1.82353,0.000337165,0
760,782532,1.56506,0.000408511,0
761,866090,1.73218,0.000345098,0
762,874746,1.74949,0.000460581,0
763,768831,1.53766,0.00029386,0
764,789944,1.57989,0.000517699,0
765,748457,1.49691,0.000465116,0
766,897604,1.79521,0.000497976,0
767,808145,1.61629,0.000603239,0
768,693337,1.38667,0.000313725,0
769,907002,1.814,0.000277992,0
770,832182,1.66436,0.000552301,0
771,888007,1.77601,0.000435685,0
772,981471,1.96294,0.000442446,0
773,836982,1.67396,0.00053719,0
774,823894,1.64779,0.000415584,0
