Window,Throughput (bits),Avg HoL Delay (s),Dropped
1,1.23645e+06,0.000643357,0
2,1.17225e+06,0.00657487,0
3,1.23069e+06,0.0170522,0
4,1.19177e+06,0.00720226,0
5,1.22376e+06,0.00728619,0
6,1.21419e+06,0.00715969,0
7,1.25626e+06,0.00808618,0
8,1.20465e+06,0.00741656,0
9,1.20579e+06,0.00711409,0
10,1.19675e+06,0.00840094,0
11,1.18346e+06,0.00938851,0
12,1.20059e+06,0.0064719,0
13,1.20724e+06,0.0126327,0
14,1.22732e+06,0.0105186,0
15,1.22038e+06,0.00476603,0
16,1.12812e+06,0.0117343,0
17,1.24919e+06,0.0213908,0
18,1.2397e+06,0.00833169,0
19,1.21539e+06,0.00533444,0
20,1.18402e+06,0.00824049,0
21,1.15654e+06,0.0076918,0
22,1.19318e+06,0.00827135,0
23,1.29079e+06,0.0110403,0
24,1.17171e+06,0.00682028,0
25,1.15929e+06,0.00665476,0
26,1.14476e+06,0.00646747,0
27,1.21256e+06,0.00592725,0
28,1.20354e+06,0.00424658,0
29,1.18431e+06,0.00429017,0
30,1.20663e+06,0.00993642,0
31,1.22522e+06,0.0106766,0
32,1.282e+06,0.0127891,0
33,1.19566e+06,0.00777275,0
34,1.22499e+06,0.0181816,0
35,1.22056e+06,0.00614781,0
36,1.1869e+06,0.010447,0
37,1.23261e+06,0.0178801,0
38,1.1798e+06,0.00786977,0
39,1.19798e+06,0.0110892,0
40,1.16229e+06,0.00945783,0
41,1.2427e+06,0.0186081,0
42,1.18654e+06,0.0128439,0
43,1.25962e+06,0.0150668,0
44,1.15578e+06,0.00523529,0
45,1.24029e+06,0.0106198,0
46,1.1946e+06,0.0104009,0
47,1.14313e+06,0.00453207,0
48,1.16885e+06,0.00565229,0
49,1.25168e+06,0.0131309,0
50,1.20316e+06,0.00974474,0
51,1.18779e+06,0.0118961,0
52,1.21691e+06,0.00879908,0
53,1.22474e+06,0.0103006,0
54,1.1871e+06,0.00794746,0
55,1.25993e+06,0.0098301,0
56,1.18419e+06,0.00646151,0
57,1.18325e+06,0.0107962,0
58,1.24207e+06,0.0272961,0
59,1.22656e+06,0.0147336,0
60,1.19992e+06,0.0114642,0
61,1.19481e+06,0.00937955,0
62,1.25025e+06,0.0142473,0
63,1.19768e+06,0.00879179,0
64,1.21578e+06,0.0194352,0
65,1.20541e+06,0.0167237,0
66,1.21838e+06,0.011612,0
67,1.20723e+06,0.00439208,0
68,1.20551e+06,0.00918958,0
69,1.21589e+06,0.00504674,0
70,1.14247e+06,0.0037673,0
71,1.23385e+06,0.0120179,0
72,1.23161e+06,0.016965,0
73,1.25609e+06,0.00614326,0
74,1.17052e+06,0.00769556,0
75,1.19243e+06,0.00720246,0
76,1.20544e+06,0.0194444,0
77,1.25293e+06,0.0173104,0
78,1.23437e+06,0.0186973,0
79,1.15721e+06,0.0377647,0
80,1.28737e+06,0.0240172,0
81,1.2017e+06,0.00798866,0
82,1.28401e+06,0.00924292,0
83,1.24338e+06,0.0118704,0
84,1.13845e+06,0.00876308,0
85,1.11675e+06,0.0291585,0
86,1.35049e+06,0.0369152,0
87,1.22293e+06,0.0259207,0
88,1.18478e+06,0.0102289,0
89,1.13911e+06,0.00671898,0
90,1.25082e+06,0.00410977,0
91,1.28288e+06,0.00801506,0
92,1.18794e+06,0.00630956,0
93,1.20566e+06,0.00702452,0
94,1.16762e+06,0.00600128,0
95,1.19195e+06,0.00761878,0
96,1.20352e+06,0.00638628,0
97,1.2374e+06,0.00962649,0
98,1.22536e+06,0.00668887,0
99,1.17464e+06,0.0101003,0
100,1.23005e+06,0.00597961,0
101,1.18716e+06,0.0171481,0
102,1.21622e+06,0.00800373,0
103,1.18174e+06,0.010871,0
104,1.2024e+06,0.0257597,0
105,1.2195e+06,0.00939168,0
106,1.18061e+06,0.0105853,0
107,1.25998e+06,0.0262293,0
